id,title,body,tags,source_url
q001,"What is a Python list?","Explain what a list is in Python and how it differs from arrays.","['python','list','basics']","https://example.com/python-list"
q002,"How to append to a list?","How do I add a new element to the end of a list in Python?","['python','list']","https://example.com/python-append"
q003,"Difference between list and tuple","When should I use a tuple instead of a list in Python?","['python','tuple','list']","https://example.com/python-tuple"
q004,"How to reverse a list?","What is the simplest way to reverse a list in Python?","['python','list','reverse']","https://example.com/python-reverse"
q005,"List comprehension basics","How do list comprehensions work and why are they useful?","['python','list','comprehension']","https://example.com/list-comprehension"

q006,"What is a Python dictionary?","Explain key-value pairs and how dictionaries are implemented.","['python','dict']","https://example.com/python-dict"
q007,"How to merge two dictionaries?","What is the recommended way to merge two dictionaries in Python 3?","['python','dict','merge']","https://example.com/dict-merge"
q008,"Iterating over dictionary keys","How can I loop through keys and values of a dictionary?","['python','dict','loop']","https://example.com/dict-iterate"
q009,"Dictionary get() vs []","What is the difference between dict.get(key) and dict[key]?","['python','dict']","https://example.com/dict-get-vs-bracket"
q010,"Sorting dictionary by value","How do I sort a dictionary by its values?","['python','dict','sorting']","https://example.com/sort-dict-value"

q011,"What is a Python string?","Basics of Python strings and immutability.","['python','string']","https://example.com/python-string"
q012,"String slicing in Python","Explain slicing and how indices work in Python strings.","['python','string','slicing']","https://example.com/string-slicing"
q013,"How to check substring?","How do I check if a substring exists within a string?","['python','string']","https://example.com/find-substring"
q014,"String formatting methods","Difference between %, format(), and f-strings.","['python','string','formatting']","https://example.com/python-formatting"
q015,"Replace characters in string","How can I replace characters or words in a Python string?","['python','string','replace']","https://example.com/string-replace"

q016,"Python functions basics","What are functions in Python and how are they defined?","['python','functions']","https://example.com/python-functions"
q017,"Default function arguments","How do default arguments work in Python functions?","['python','functions','arguments']","https://example.com/default-arguments"
q018,"What is *args and **kwargs?","When should I use *args and **kwargs in Python?","['python','functions','args']","https://example.com/args-kwargs"
q019,"Lambda functions","What are lambda functions and how are they used?","['python','lambda']","https://example.com/lambda"
q020,"Pass by value or reference?","How does Python handle variable passing to functions?","['python','functions']","https://example.com/pass-by-object"

q021,"What are Python classes?","Explain basic OOP concepts in Python classes.","['python','oop','classes']","https://example.com/python-classes"
q022,"Inheritance in Python","How does class inheritance work in Python?","['python','oop','inheritance']","https://example.com/inheritance"
q023,"Magic methods","What are Python magic methods like __str__ and __repr__?","['python','oop','magic-methods']","https://example.com/magic-methods"
q024,"Class vs instance variables","Difference between class-level and instance-level attributes.","['python','oop']","https://example.com/class-vs-instance"
q025,"Property decorators","How do @property and setters work?","['python','oop','decorators']","https://example.com/property"

q026,"What is a Python module?","Difference between modules and packages in Python.","['python','modules']","https://example.com/python-modules"
q027,"Importing modules","How do import statements work in Python?","['python','modules','import']","https://example.com/python-import"
q028,"Circular imports","How do I fix circular import issues in Python?","['python','modules','errors']","https://example.com/circular-import"
q029,"Using virtual environments","Why should I use virtualenv or venv?","['python','environment']","https://example.com/venv"
q030,"Requirements.txt usage","How do I generate and use a requirements.txt file?","['python','environment','pip']","https://example.com/requirements"

q031,"File reading basics","How can I read from a text file in Python?","['python','file-io']","https://example.com/python-file-read"
q032,"Writing to files","How do I write data into files in Python safely?","['python','file-io']","https://example.com/python-file-write"
q033,"Context managers","Advantages of using with open() in Python.","['python','file-io','context-manager']","https://example.com/context-manager"
q034,"Working with JSON","How to parse and dump JSON in Python using json module?","['python','json']","https://example.com/python-json"
q035,"CSV file handling","How to read/write CSV files using csv module?","['python','csv']","https://example.com/python-csv"

q036,"What are exceptions?","Explain how exceptions work in Python.","['python','exceptions']","https://example.com/exceptions"
q037,"Try except finally usage","How do I properly catch and handle exceptions?","['python','exceptions']","https://example.com/try-except"
q038,"Custom exceptions","How to define your own exception class?","['python','exceptions','oop']","https://example.com/custom-exception"
q039,"Debugging Python code","Best tools and methods for debugging Python programs.","['python','debugging']","https://example.com/debugging"
q040,"Common Python errors","What do common errors like TypeError, ValueError mean?","['python','errors']","https://example.com/python-errors"

q041,"Iterators in Python","Explain __iter__ and __next__ and how iterators work.","['python','iterators']","https://example.com/iterators"
q042,"Generators in Python","How are generators different from iterators?","['python','generators']","https://example.com/generators"
q043,"Yield keyword usage","How does the yield keyword create generator functions?","['python','generators']","https://example.com/yield"
q044,"Generator expressions","How do generator expressions differ from list comprehensions?","['python','generators']","https://example.com/generator-expressions"
q045,"Coroutines basics","What are Python coroutines and async/await?","['python','asyncio']","https://example.com/coroutines"

q046,"Python multithreading","How does threading work despite the GIL?","['python','threading']","https://example.com/python-threading"
q047,"Multiprocessing basics","How is multiprocessing different from multithreading in Python?","['python','multiprocessing']","https://example.com/multiprocessing"
q048,"AsyncIO event loop","How does Python's event loop execute asynchronous tasks?","['python','asyncio']","https://example.com/asyncio-event-loop"
q049,"Scheduling async tasks","How to schedule background tasks using asyncio?","['python','asyncio']","https://example.com/asyncio-tasks"
q050,"Concurrent futures","How does ThreadPoolExecutor differ from ProcessPoolExecutor?","['python','concurrency']","https://example.com/concurrent-futures"
